ContractID,Date,Open,Low,High,Close,Volume,Average
11900,2018-10-22,0.7,0.66,0.7,0.66,85,0.6953
11900,2018-10-23,0.66,0.66,0.68,0.67,15,0.6733
11900,2018-10-24,0.67,0.66,0.75,0.73,233,0.7259
11900,2018-10-25,0.73,0.69,0.78,0.73,226,0.7327
11900,2018-10-26,0.73,0.73,0.78,0.76,270,0.7516
11900,2018-10-27,0.76,0.61,0.8,0.61,1243,0.716
11900,2018-10-28,0.61,0.6,0.75,0.61,530,0.6699
11900,2018-10-29,0.61,0.6,0.77,0.6,767,0.6737
11900,2018-10-30,0.6,0.6,0.75,0.65,169,0.7344
11900,2018-10-31,0.65,0.63,0.75,0.75,499,0.6907
11900,2018-11-01,0.75,0.65,0.75,0.74,177,0.6816
11900,2018-11-02,0.74,0.68,0.75,0.75,1801,0.7477
11900,2018-11-03,0.75,0.7,0.75,0.7,195,0.717
11900,2018-11-04,0.7,0.7,0.74,0.71,222,0.7253
11900,2018-11-05,0.71,0.7,0.75,0.75,558,0.7432
11900,2018-11-06,0.75,0.1,0.99,0.99,11743,0.6962
11900,2018-11-07,0.99,0.96,0.99,0.98,3261,0.9859
11900,2018-11-08,0.98,0.88,0.99,0.93,8606,0.9631
11900,2018-11-09,0.93,0.93,0.98,0.95,3265,0.9603
11900,2018-11-10,0.95,0.95,0.98,0.97,2263,0.9725
11900,2018-11-11,0.97,0.96,0.98,0.96,552,0.9709
11900,2018-11-12,0.96,0.93,0.97,0.97,1760,0.9611
11900,2018-11-13,0.97,0.92,0.98,0.92,2059,0.9592
11900,2018-11-14,0.92,0.06,0.95,0.89,3460,0.873
11900,2018-11-15,0.89,0.87,0.92,0.92,2740,0.8982
11900,2018-11-16,0.92,0.89,0.96,0.94,1542,0.9256
11900,2018-11-17,0.94,0.91,0.96,0.95,2478,0.9385
11900,2018-11-18,0.95,0.95,0.96,0.96,665,0.9562
11900,2018-11-19,0.96,0.94,0.97,0.96,1847,0.9583
11900,2018-11-20,0.96,0.73,0.99,0.99,6323,0.9615
11900,2018-11-21,0.99,0.99,0.99,0.99,1439,0.99
11900,2018-11-22,0.99,0.99,0.99,0.99,0,0
11900,2018-11-23,0.99,0.99,0.99,0.99,0,0
11900,2018-11-24,0.99,0.99,0.99,0.99,85,0.99
11900,2018-11-25,0.99,0.99,0.99,0.99,384,0.99
11900,2018-11-26,0.99,0.98,0.99,0.98,7118,0.9893
11900,2018-11-27,0.98,0.44,0.99,0.99,9713,0.9559
11900,2018-11-28,0.99,0.99,0.99,0.99,25,0.99
11900,2018-11-29,0.99,0.99,0.99,0.99,1,0.99
11900,2018-11-30,0.99,0.98,0.99,0.98,425,0.9835
11900,2018-12-01,0.98,0.98,0.99,0.99,5,0.99
11900,2018-12-02,0.99,0.99,0.99,0.99,2,0.99
11900,2018-12-03,0.99,0.99,0.99,0.99,0,0
11900,2018-12-04,0.99,0.99,0.99,0.99,292,0.99
11900,2018-12-05,0.99,0.99,0.99,0.99,0,0
11900,2018-12-06,0.99,0.99,0.99,0.99,0,0
11900,2018-12-07,0.99,0.99,0.99,0.99,0,0
11900,2018-12-08,0.99,0.99,0.99,0.99,35,0.99
11900,2018-12-09,0.99,0.99,0.99,0.99,3,0.99
11900,2018-12-10,0.99,0.99,0.99,0.99,170,0.99
11900,2018-12-11,0.99,0.99,0.99,0.99,0,0
11900,2018-12-12,0.99,0.99,0.99,0.99,0,0
11900,2018-12-13,0.99,0.99,0.99,0.99,0,0
11900,2018-12-14,0.99,0.99,0.99,0.99,0,0
11900,2018-12-15,0.99,0.99,0.99,0.99,31,0.99
11900,2018-12-16,0.99,0.99,0.99,0.99,0,0
11900,2018-12-17,0.99,0.99,0.99,0.99,0,0
11900,2018-12-18,0.99,0.99,0.99,0.99,0,0
11900,2018-12-19,0.99,0.99,0.99,0.99,0,0
11900,2018-12-20,0.99,0.99,0.99,0.99,0,0
11900,2018-12-21,0.99,0.99,0.99,0.99,0,0
11900,2018-12-22,0.99,0.99,0.99,0.99,0,0
11900,2018-12-23,0.99,0.99,0.99,0.99,0,0
11900,2018-12-24,0.99,0.99,0.99,0.99,0,0
11900,2018-12-25,0.99,0.99,0.99,0.99,0,0
11900,2018-12-26,0.99,0.99,0.99,0.99,0,0
11900,2018-12-27,0.99,0.99,0.99,0.99,0,0
11900,2018-12-28,0.99,0.99,0.99,0.99,0,0
11900,2018-12-29,0.99,0.99,0.99,0.99,0,0
11900,2018-12-30,0.99,0.99,0.99,0.99,0,0
11900,2018-12-31,0.99,0.99,0.99,0.99,0,0
11900,2019-01-01,0.99,0.99,0.99,0.99,0,0
11900,2019-01-02,0.99,0.99,0.99,0.99,0,0
11900,2019-01-03,0.99,0.99,0.99,0.99,0,0
11900,2019-01-04,0.99,0.99,0.99,0.99,0,0
