ContractID,LongName,Date,Open,Low,High,Close,Volume
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-05,0.99,0.96,0.99,0.98,812
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-06,0.98,0.97,0.98,0.97,410
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-07,0.97,0.97,0.97,0.97,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-08,0.97,0.96,0.98,0.96,474
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-09,0.96,0.96,0.98,0.98,10
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-10,0.98,0.98,0.98,0.98,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-11,0.98,0.97,0.98,0.97,73
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-12,0.97,0.96,0.98,0.97,47
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-13,0.97,0.97,0.99,0.99,1060
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-14,0.99,0.99,0.99,0.99,937
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-15,0.99,0.99,0.99,0.99,330
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-16,0.99,0.99,0.99,0.99,776
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-17,0.99,0.99,0.99,0.99,332
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-18,0.99,0.99,0.99,0.99,41
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-19,0.99,0.99,0.99,0.99,80
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-20,0.99,0.99,0.99,0.99,1153
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-21,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-22,0.99,0.99,0.99,0.99,56
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-23,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-24,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-25,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-26,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-27,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-28,0.99,0.99,0.99,0.99,0
