forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-10-16,US,D,deluxe,0.1998,48.48,49,45,51,21.38,17.3,25.39
2018-10-16,US,R,deluxe,0.8002,51.52,51,49,55,-21.38,-17.3,-25.39
2018-10-17,US,D,deluxe,0.1998,48.47,49,45,51,21.35,17.36,25.38
2018-10-17,US,R,deluxe,0.8002,51.53,51,49,55,-21.35,-17.36,-25.38
2018-10-18,US,D,deluxe,0.2061,48.52,49,45,51,21.12,17.09,25.12
2018-10-18,US,R,deluxe,0.7939,51.48,51,49,55,-21.12,-17.09,-25.12
2018-10-19,US,D,deluxe,0.2004,48.51,49,45,51,21.11,17.16,25.12
2018-10-19,US,R,deluxe,0.7996,51.49,51,49,55,-21.11,-17.16,-25.12
2018-10-20,US,D,deluxe,0.2053,48.55,49,45,51,21.17,17.18,25.15
2018-10-20,US,R,deluxe,0.7947,51.45,51,49,55,-21.17,-17.18,-25.15
2018-10-21,US,D,deluxe,0.2082,48.57,49,46,51,21.19,17.28,25.15
2018-10-21,US,R,deluxe,0.7918,51.43,51,49,54,-21.19,-17.28,-25.15
2018-10-22,US,D,deluxe,0.2097,48.59,49,46,51,21.3,17.36,25.29
2018-10-22,US,R,deluxe,0.7903,51.41,51,49,54,-21.3,-17.36,-25.29
2018-10-23,US,D,deluxe,0.1867,48.45,49,45,51,21.12,17.17,25.03
2018-10-23,US,R,deluxe,0.8133,51.55,51,49,55,-21.12,-17.17,-25.03
2018-10-24,US,D,deluxe,0.1752,48.35,48,45,51,21,17.11,24.93
2018-10-24,US,R,deluxe,0.8248,51.65,52,49,55,-21,-17.11,-24.93
2018-10-25,US,D,deluxe,0.1749,48.34,48,45,51,20.91,17,24.8
2018-10-25,US,R,deluxe,0.8251,51.66,52,49,55,-20.91,-17,-24.8
2018-10-26,US,D,deluxe,0.1683,48.29,48,45,51,20.81,16.99,24.67
2018-10-26,US,R,deluxe,0.8317,51.71,52,49,55,-20.81,-16.99,-24.67
2018-10-27,US,D,deluxe,0.1625,48.23,48,45,51,20.93,17.08,24.81
2018-10-27,US,R,deluxe,0.8375,51.77,52,49,55,-20.93,-17.08,-24.81
2018-10-28,US,D,deluxe,0.1615,48.22,48,45,51,20.92,17.13,24.78
2018-10-28,US,R,deluxe,0.8385,51.78,52,49,55,-20.92,-17.13,-24.78
2018-10-29,US,D,deluxe,0.1638,48.25,48,45,51,20.9,17.11,24.74
2018-10-29,US,R,deluxe,0.8362,51.75,52,49,55,-20.9,-17.11,-24.74
