ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115,chamber
412411,0.8438728254566822,0.6517340770335555,Ross,Republican,rank-and-file Republican,23,233,222,374,house
400116,0.8415067177621408,0.5112987959405784,Duncan [TN2],Republican,rank-and-file Republican,19,192,70,96,house
412510,0.9573570676924076,0.556455613949321,LaMalfa,Republican,conservative Republican,17,335,160,255,house
412309,0.8737366141040334,0.8195895972041374,Posey,Republican,conservative Republican leader,30,294,198,267,house
412209,0.44511621769710485,0.41274621565650155,Loebsack,Democrat,centrist Democrat,23,356,76,91,house
412537,0.4189108520065516,0.5032456558769179,Bustos,Democrat,centrist Democrat,22,296,132,261,house
400251,0.2434767499150607,0.8812307262397953,Maloney [NY12],Democrat,moderate Democratic leader,46,435,280,1331,house
412250,0.7798607609958561,0.7855354011317803,Bilirakis,Republican,moderate Republican leader,41,290,217,359,house
412282,0.35946014950689575,0.3495491970072901,Himes,Democrat,rank-and-file Democrat,19,320,110,160,house
412331,0.27519544853867944,0.5047399840211477,Quigley,Democrat,rank-and-file Democrat,22,469,192,476,house
412212,0.3174068445289289,0.5133487000435869,Sarbanes,Democrat,rank-and-file Democrat,8,249,188,378,house
400371,0.40498260735882347,0.3650420656164522,Sherman,Democrat,centrist Democrat,11,373,83,110,house
412571,0.27190694060174575,0.8131052588299088,Cartwright,Democrat,moderate Democratic leader,67,452,242,965,house
400004,0.7678812519066485,0.273935466498086,Aderholt,Republican,moderate Republican follower,5,125,33,33,house
400616,0.33427345191955743,0.5292299431992377,Butterfield,Democrat,rank-and-file Democrat,3,304,26,26,house
412236,0.17300175949259142,0.6646486140186564,Cohen,Democrat,progressive Democratic leader,35,980,258,745,house
412272,0.32690604487113906,0.6880463331563063,Connolly,Democrat,moderate Democratic leader,27,495,289,685,house
400648,0.6300182965479403,0.8204739873078434,Dent,Republican,centrist Republican leader,10,124,368,726,house
412290,0.6946748896656205,0.6748717817610942,Lance,Republican,rank-and-file Republican,26,287,235,371,house
400245,0.21216179876938762,0.6972442263847323,Lofgren,Democrat,progressive Democratic leader,18,830,207,653,house
400249,0.3128283996592946,0.7392082315906587,Lynch,Democrat,moderate Democratic leader,24,350,398,818,house
400263,0.11140940200113666,0.5623638614292549,McGovern,Democrat,progressive Democrat,14,946,170,330,house
400295,0,0.5116000079489504,Norton,Democrat,progressive Democrat,98,1377,199,363,house
400349,0.44966866199939487,0.115415295325262,Ruppersberger,Democrat,centrist Democratic follower,6,333,25,27,house
412565,0.33658695683787215,0.5559100368974003,Beatty,Democrat,rank-and-file Democrat,18,480,103,286,house
412404,0.23553158645370478,0.7439213451771316,Bass,Democrat,moderate Democratic leader,27,430,247,843,house
412221,0.11760905678563943,0.39037168714708004,Clarke,Democrat,progressive Democrat,27,817,137,408,house
400162,0.016758214284802078,0.6774380506032802,Grijalva,Democrat,progressive Democratic leader,35,831,256,1006,house
