date,race,close,prob
2018-08-10,CA-S1,0.86,1
2018-08-10,CO-05,0.06999999999999995,0.0232
2018-08-10,CO-06,0.6,0.6363
2018-08-10,CT-05,0.96,0.9667
2018-08-10,FL-15,0.33,0.262
2018-08-10,FL-17,0.09,0.0035
2018-08-10,FL-26,0.5900000000000001,0.3776
2018-08-10,FL-27,0.94,0.9738
2018-08-10,FL-S1,0.51,0.6157
2018-08-10,IL-12,0.57,0.383
2018-08-10,IN-S1,0.39,0.8637
2018-08-10,MA-S1,0.95,0.9986
2018-08-10,MD-06,0.93,0.9901
2018-08-10,ME-S1,0.030000000000000027,0
2018-08-10,MI-08,0.55,0.4217
2018-08-10,MI-11,0.64,0.6711
2018-08-10,MI-S1,0.79,0.9853
2018-08-10,MN-01,0.5,0.4822
2018-08-10,MN-02,0.85,0.7496
2018-08-10,MN-03,0.55,0.6391
2018-08-10,MN-08,0.55,0.3839
2018-08-10,MN-S1,0.81,0.9983
2018-08-10,MO-S1,0.53,0.7329
2018-08-10,MS-03,0.1,0.0063
2018-08-10,MS-S2,0.11,0.1384
2018-08-10,MT-S1,0.66,0.8927
2018-08-10,NC-09,0.75,0.5973
2018-08-10,NC-13,0.46,0.3835
2018-08-10,ND-S1,0.42,0.5938
2018-08-10,NE-02,0.45999999999999996,0.5744
2018-08-10,NE-S1,0.08999999999999997,0.0426
2018-08-10,NH-01,0.82,0.8061
2018-08-10,NJ-02,0.94,0.8903
2018-08-10,NJ-07,0.64,0.6194
2018-08-10,NJ-11,0.81,0.7212
2018-08-10,NJ-S1,0.75,0.945
2018-08-10,NM-S1,0.91,0.9687
2018-08-10,NV-03,0.89,0.6891
2018-08-10,NV-04,0.89,0.8445
2018-08-10,NV-S1,0.6599999999999999,0.5343
2018-08-10,NY-01,0.28,0.1037
2018-08-10,NY-09,0.98,1
2018-08-10,NY-14,0.95,1
2018-08-10,NY-19,0.62,0.5362
2018-08-10,NY-27,0.54,0.1872
2018-08-10,OH-S1,0.82,0.9513
2018-08-10,PA-06,0.96,0.9812
2018-08-10,PA-09,0.03,0.0088
2018-08-10,PA-15,0.14,1e-4
2018-08-10,PA-17,0.88,0.9711
2018-08-10,PA-S1,0.84,0.9551
2018-08-10,PA-S1,0.87,0.9551
2018-08-10,SC-04,0.02,4e-4
2018-08-10,TN-S1,0.46,0.364
2018-08-10,TX-05,0.1,0.001
2018-08-10,TX-06,0.06,0.0717
2018-08-10,TX-21,0.17,0.1593
2018-08-10,TX-23,0.69,0.7158
2018-08-10,TX-29,0.96,0.9999
2018-08-10,TX-S1,0.30000000000000004,0.2581
2018-08-10,VA-02,0.63,0.2186
2018-08-10,VA-06,0.1,0.0038
2018-08-10,VA-10,0.85,0.7422
2018-08-10,VA-S1,0.94,0.9928
2018-08-10,VT-S1,0.95,0.9999
2018-08-10,WA-08,0.66,0.4956
2018-08-10,WI-01,0.48,0.264
2018-08-10,WI-S1,0.83,0.9767
2018-08-10,WV-03,0.68,0.062
2018-08-10,WV-S1,0.75,0.8591
2018-08-11,AZ-S1,0.64,0.7329
2018-08-11,CA-10,0.6699999999999999,0.6921
2018-08-11,CA-12,0.93,1
2018-08-11,CA-22,0.26,0.0405
2018-08-11,CA-25,0.65,0.7387
2018-08-11,CA-39,0.61,0.4689
2018-08-11,CA-48,0.73,0.6505
2018-08-11,CA-49,0.77,0.79990000000000006
2018-08-11,CA-S1,0.87,1
2018-08-11,CO-05,0.06999999999999995,0.0206
2018-08-11,CO-06,0.63,0.6359
2018-08-11,CT-05,0.96,0.9694
2018-08-11,FL-15,0.31,0.2593
2018-08-11,FL-17,0.09,0.0034
2018-08-11,FL-26,0.62,0.3782
2018-08-11,FL-27,0.94,0.9727
2018-08-11,FL-S1,0.53,0.6172
2018-08-11,IL-12,0.58,0.3847
2018-08-11,IN-S1,0.4,0.8645
2018-08-11,MA-S1,0.95,0.9986
2018-08-11,MD-06,0.93,0.9885
2018-08-11,ME-S1,0.030000000000000027,0
2018-08-11,MI-08,0.55,0.4222
2018-08-11,MI-11,0.67,0.671
2018-08-11,MI-S1,0.79,0.986
2018-08-11,MN-01,0.56,0.4775
2018-08-11,MN-02,0.85,0.7538
2018-08-11,MN-03,0.56,0.639
2018-08-11,MN-08,0.55,0.3778
2018-08-11,MN-S1,0.84,0.9974
2018-08-11,MO-S1,0.52,0.7396
2018-08-11,MS-03,0.1,0.0063
2018-08-11,MS-S2,0.11,0.1357
2018-08-11,MT-S1,0.68,0.8947
2018-08-11,NC-09,0.75,0.5946
2018-08-11,NC-13,0.54,0.3833
