date,race,method,prob,winner,correct
2018-08-02,NV-04,model,0.8451,TRUE,TRUE
2018-08-02,NV-04,market,0.89,TRUE,TRUE
2018-08-02,NV-S1,model,0.5442,TRUE,TRUE
2018-08-02,NV-S1,market,0.63,TRUE,TRUE
2018-08-02,NY-01,model,0.1108,FALSE,TRUE
2018-08-02,NY-01,market,0.39,FALSE,TRUE
2018-08-02,NY-09,model,1,TRUE,TRUE
2018-08-02,NY-09,market,0.98,TRUE,TRUE
2018-08-02,NY-14,model,1,TRUE,TRUE
2018-08-02,NY-14,market,0.9,TRUE,TRUE
2018-08-02,NY-19,model,0.5394,TRUE,TRUE
2018-08-02,NY-19,market,0.64,TRUE,TRUE
2018-08-02,OH-S1,model,0.9503,TRUE,TRUE
2018-08-02,OH-S1,market,0.84,TRUE,TRUE
2018-08-02,PA-06,model,0.9807,TRUE,TRUE
2018-08-02,PA-06,market,0.96,TRUE,TRUE
2018-08-02,PA-09,model,0.0086,FALSE,TRUE
2018-08-02,PA-09,market,0.03,FALSE,TRUE
2018-08-02,PA-15,model,0,FALSE,TRUE
2018-08-02,PA-15,market,0.13,FALSE,TRUE
2018-08-02,PA-17,model,0.9736,TRUE,TRUE
2018-08-02,PA-17,market,0.94,TRUE,TRUE
2018-08-02,PA-S1,model,0.9504,TRUE,TRUE
2018-08-02,PA-S1,market,0.91,TRUE,TRUE
2018-08-02,PA-S1,market,0.87,TRUE,TRUE
2018-08-02,SC-04,model,4e-4,FALSE,TRUE
2018-08-02,SC-04,market,0.05,FALSE,TRUE
2018-08-02,TN-S1,model,0.3676,FALSE,TRUE
2018-08-02,TN-S1,market,0.51,FALSE,FALSE
2018-08-02,TX-05,model,0.001,FALSE,TRUE
2018-08-02,TX-05,market,0.08,FALSE,TRUE
2018-08-02,TX-06,model,0.0742,FALSE,TRUE
2018-08-02,TX-06,market,0.15,FALSE,TRUE
2018-08-02,TX-21,model,0.1609,FALSE,TRUE
2018-08-02,TX-21,market,0.16,FALSE,TRUE
2018-08-02,TX-23,model,0.7256,FALSE,FALSE
2018-08-02,TX-23,market,0.6599999999999999,FALSE,FALSE
2018-08-02,TX-29,model,0.9998,TRUE,TRUE
2018-08-02,TX-29,market,0.96,TRUE,TRUE
2018-08-02,TX-S1,model,0.2591,FALSE,TRUE
2018-08-02,TX-S1,market,0.30000000000000004,FALSE,TRUE
2018-08-02,VA-02,model,0.2282,TRUE,FALSE
2018-08-02,VA-02,market,0.53,TRUE,TRUE
2018-08-02,VA-06,model,0.0042,FALSE,TRUE
2018-08-02,VA-06,market,0.1,FALSE,TRUE
2018-08-02,VA-10,model,0.7517,TRUE,TRUE
2018-08-02,VA-10,market,0.81,TRUE,TRUE
2018-08-02,VA-S1,model,0.9927,TRUE,TRUE
2018-08-02,VA-S1,market,0.95,TRUE,TRUE
2018-08-02,VT-S1,model,0.9999,TRUE,TRUE
2018-08-02,VT-S1,market,0.95,TRUE,TRUE
2018-08-02,WA-08,model,0.5048,TRUE,TRUE
2018-08-02,WA-08,market,0.64,TRUE,TRUE
2018-08-02,WI-01,model,0.2672,FALSE,TRUE
2018-08-02,WI-01,market,0.47,FALSE,TRUE
2018-08-02,WI-S1,model,0.9763,TRUE,TRUE
2018-08-02,WI-S1,market,0.17000000000000004,TRUE,FALSE
2018-08-02,WV-03,model,0.0653,FALSE,TRUE
2018-08-02,WV-03,market,0.7,FALSE,FALSE
2018-08-02,WV-S1,model,0.8746,TRUE,TRUE
2018-08-02,WV-S1,market,0.8,TRUE,TRUE
2018-08-03,AZ-S1,model,0.729,TRUE,TRUE
2018-08-03,AZ-S1,market,0.66,TRUE,TRUE
2018-08-03,CA-10,model,0.6938,TRUE,TRUE
2018-08-03,CA-10,market,0.5800000000000001,TRUE,TRUE
2018-08-03,CA-12,model,1,TRUE,TRUE
2018-08-03,CA-12,market,0.9,TRUE,TRUE
2018-08-03,CA-22,model,0.0476,FALSE,TRUE
2018-08-03,CA-22,market,0.30000000000000004,FALSE,TRUE
2018-08-03,CA-25,model,0.7408,TRUE,TRUE
2018-08-03,CA-25,market,0.64,TRUE,TRUE
2018-08-03,CA-39,model,0.3651,TRUE,FALSE
2018-08-03,CA-39,market,0.61,TRUE,TRUE
2018-08-03,CA-48,model,0.6565,TRUE,TRUE
2018-08-03,CA-48,market,0.72,TRUE,TRUE
2018-08-03,CA-49,model,0.7895,TRUE,TRUE
2018-08-03,CA-49,market,0.75,TRUE,TRUE
2018-08-03,CA-S1,model,1,TRUE,TRUE
2018-08-03,CA-S1,market,0.95,TRUE,TRUE
2018-08-03,CO-05,model,0.0242,FALSE,TRUE
2018-08-03,CO-05,market,0.06000000000000005,FALSE,TRUE
2018-08-03,CO-06,model,0.6369,TRUE,TRUE
2018-08-03,CO-06,market,0.62,TRUE,TRUE
2018-08-03,CT-05,model,0.9695,TRUE,TRUE
2018-08-03,CT-05,market,0.9,TRUE,TRUE
2018-08-03,FL-15,model,0.2619,FALSE,TRUE
2018-08-03,FL-15,market,0.23,FALSE,TRUE
2018-08-03,FL-17,model,0.0035,FALSE,TRUE
2018-08-03,FL-17,market,0.1,FALSE,TRUE
2018-08-03,FL-26,model,0.3919,TRUE,FALSE
2018-08-03,FL-26,market,0.56,TRUE,TRUE
2018-08-03,FL-27,model,0.9732,TRUE,TRUE
2018-08-03,FL-27,market,0.91,TRUE,TRUE
2018-08-03,FL-S1,model,0.6113,FALSE,FALSE
2018-08-03,FL-S1,market,0.52,FALSE,FALSE
2018-08-03,IL-12,model,0.3923,FALSE,TRUE
2018-08-03,IL-12,market,0.42,FALSE,TRUE
2018-08-03,IN-S1,model,0.7657,FALSE,FALSE
2018-08-03,IN-S1,market,0.39,FALSE,TRUE
2018-08-03,MA-S1,model,0.9986,TRUE,TRUE
2018-08-03,MA-S1,market,0.96,TRUE,TRUE
2018-08-03,MD-06,model,0.9895,TRUE,TRUE
2018-08-03,MD-06,market,0.93,TRUE,TRUE
2018-08-03,ME-S1,model,0,TRUE,FALSE
2018-08-03,ME-S1,market,0.030000000000000027,TRUE,FALSE
2018-08-03,MI-08,model,0.4275,TRUE,FALSE
2018-08-03,MI-08,market,0.44,TRUE,FALSE
2018-08-03,MI-11,model,0.6705,TRUE,TRUE
2018-08-03,MI-11,market,0.62,TRUE,TRUE
2018-08-03,MI-S1,model,0.9856,TRUE,TRUE
2018-08-03,MI-S1,market,0.8,TRUE,TRUE
2018-08-03,MN-01,model,0.4842,FALSE,TRUE
2018-08-03,MN-01,market,0.5,FALSE,TRUE
2018-08-03,MN-02,model,0.7572,TRUE,TRUE
2018-08-03,MN-02,market,0.15,TRUE,FALSE
2018-08-03,MN-03,model,0.646,TRUE,TRUE
2018-08-03,MN-03,market,0.54,TRUE,TRUE
2018-08-03,MN-08,model,0.3892,FALSE,TRUE
2018-08-03,MN-08,market,0.53,FALSE,FALSE
2018-08-03,MN-S1,model,0.9981,TRUE,TRUE
2018-08-03,MN-S1,market,0.81,TRUE,TRUE
2018-08-03,MO-S1,model,0.6797,FALSE,FALSE
2018-08-03,MO-S1,market,0.53,FALSE,FALSE
2018-08-03,MS-03,model,0.0057,FALSE,TRUE
2018-08-03,MS-03,market,0.12,FALSE,TRUE
2018-08-03,MS-S2,model,0.0949,FALSE,TRUE
2018-08-03,MS-S2,market,0.12,FALSE,TRUE
2018-08-03,MT-S1,model,0.8871,TRUE,TRUE
2018-08-03,MT-S1,market,0.64,TRUE,TRUE
2018-08-03,NC-09,model,0.6009,NA,NA
2018-08-03,NC-09,market,0.9,NA,NA
2018-08-03,NC-13,model,0.3894,FALSE,TRUE
2018-08-03,NC-13,market,0.55,FALSE,FALSE
2018-08-03,ND-S1,model,0.5844,FALSE,FALSE
2018-08-03,ND-S1,market,0.4,FALSE,TRUE
2018-08-03,NE-02,model,0.5789,FALSE,FALSE
2018-08-03,NE-02,market,0.44999999999999996,FALSE,TRUE
2018-08-03,NE-S1,model,0.0444,FALSE,TRUE
2018-08-03,NE-S1,market,0.08999999999999997,FALSE,TRUE
2018-08-03,NH-01,model,0.8049,TRUE,TRUE
2018-08-03,NH-01,market,0.82,TRUE,TRUE
2018-08-03,NJ-02,model,0.8887,TRUE,TRUE
2018-08-03,NJ-02,market,0.94,TRUE,TRUE
2018-08-03,NJ-07,model,0.6283,TRUE,TRUE
2018-08-03,NJ-07,market,0.57,TRUE,TRUE
2018-08-03,NJ-11,model,0.7245,TRUE,TRUE
2018-08-03,NJ-11,market,0.77,TRUE,TRUE
2018-08-03,NJ-S1,model,0.9443,TRUE,TRUE
2018-08-03,NJ-S1,market,0.73,TRUE,TRUE
2018-08-03,NM-S1,model,0.972,TRUE,TRUE
2018-08-03,NM-S1,market,0.85,TRUE,TRUE
2018-08-03,NV-03,model,0.6879,TRUE,TRUE
2018-08-03,NV-03,market,0.89,TRUE,TRUE
2018-08-03,NV-04,model,0.8471,TRUE,TRUE
2018-08-03,NV-04,market,0.89,TRUE,TRUE
2018-08-03,NV-S1,model,0.542,TRUE,TRUE
2018-08-03,NV-S1,market,0.65,TRUE,TRUE
2018-08-03,NY-01,model,0.1104,FALSE,TRUE
2018-08-03,NY-01,market,0.4,FALSE,TRUE
2018-08-03,NY-09,model,1,TRUE,TRUE
2018-08-03,NY-09,market,0.98,TRUE,TRUE
2018-08-03,NY-14,model,1,TRUE,TRUE
2018-08-03,NY-14,market,0.9,TRUE,TRUE
2018-08-03,NY-19,model,0.541,TRUE,TRUE
2018-08-03,NY-19,market,0.64,TRUE,TRUE
2018-08-03,OH-S1,model,0.9498,TRUE,TRUE
2018-08-03,OH-S1,market,0.84,TRUE,TRUE
2018-08-03,PA-06,model,0.98,TRUE,TRUE
2018-08-03,PA-06,market,0.96,TRUE,TRUE
2018-08-03,PA-09,model,0.0084,FALSE,TRUE
2018-08-03,PA-09,market,0.03,FALSE,TRUE
2018-08-03,PA-15,model,0,FALSE,TRUE
2018-08-03,PA-15,market,0.14,FALSE,TRUE
2018-08-03,PA-17,model,0.9717,TRUE,TRUE
2018-08-03,PA-17,market,0.94,TRUE,TRUE
2018-08-03,PA-S1,model,0.9512,TRUE,TRUE
2018-08-03,PA-S1,market,0.92,TRUE,TRUE
2018-08-03,PA-S1,market,0.93,TRUE,TRUE
2018-08-03,SC-04,model,3e-4,FALSE,TRUE
2018-08-03,SC-04,market,0.05,FALSE,TRUE
2018-08-03,TN-S1,model,0.3623,FALSE,TRUE
2018-08-03,TN-S1,market,0.5,FALSE,TRUE
2018-08-03,TX-05,model,9e-4,FALSE,TRUE
2018-08-03,TX-05,market,0.08,FALSE,TRUE
2018-08-03,TX-06,model,0.0735,FALSE,TRUE
2018-08-03,TX-06,market,0.15,FALSE,TRUE
2018-08-03,TX-21,model,0.1567,FALSE,TRUE
2018-08-03,TX-21,market,0.2,FALSE,TRUE
2018-08-03,TX-23,model,0.7257,FALSE,FALSE
2018-08-03,TX-23,market,0.7,FALSE,FALSE
2018-08-03,TX-29,model,0.9999,TRUE,TRUE
2018-08-03,TX-29,market,0.96,TRUE,TRUE
2018-08-03,TX-S1,model,0.2583,FALSE,TRUE
2018-08-03,TX-S1,market,0.29000000000000004,FALSE,TRUE
2018-08-03,VA-02,model,0.2315,TRUE,FALSE
2018-08-03,VA-02,market,0.53,TRUE,TRUE
2018-08-03,VA-06,model,0.0039,FALSE,TRUE
2018-08-03,VA-06,market,0.1,FALSE,TRUE
2018-08-03,VA-10,model,0.7495,TRUE,TRUE
2018-08-03,VA-10,market,0.8200000000000001,TRUE,TRUE
2018-08-03,VA-S1,model,0.992,TRUE,TRUE
2018-08-03,VA-S1,market,0.95,TRUE,TRUE
2018-08-03,VT-S1,model,0.9999,TRUE,TRUE
2018-08-03,VT-S1,market,0.95,TRUE,TRUE
2018-08-03,WA-08,model,0.5057,TRUE,TRUE
2018-08-03,WA-08,market,0.64,TRUE,TRUE
2018-08-03,WI-01,model,0.2626,FALSE,TRUE
2018-08-03,WI-01,market,0.47,FALSE,TRUE
2018-08-03,WI-S1,model,0.9772,TRUE,TRUE
2018-08-03,WI-S1,market,0.17000000000000004,TRUE,FALSE
2018-08-03,WV-03,model,0.063,FALSE,TRUE
2018-08-03,WV-03,market,0.7,FALSE,FALSE
2018-08-03,WV-S1,model,0.8739,TRUE,TRUE
2018-08-03,WV-S1,market,0.79,TRUE,TRUE
2018-08-04,AZ-S1,model,0.7269,TRUE,TRUE
2018-08-04,AZ-S1,market,0.66,TRUE,TRUE
2018-08-04,CA-10,model,0.6958,TRUE,TRUE
2018-08-04,CA-10,market,0.5800000000000001,TRUE,TRUE
2018-08-04,CA-12,model,1,TRUE,TRUE
2018-08-04,CA-12,market,0.9,TRUE,TRUE
2018-08-04,CA-22,model,0.0467,FALSE,TRUE
2018-08-04,CA-22,market,0.28,FALSE,TRUE
2018-08-04,CA-25,model,0.7396,TRUE,TRUE
2018-08-04,CA-25,market,0.64,TRUE,TRUE
2018-08-04,CA-39,model,0.3636,TRUE,FALSE
2018-08-04,CA-39,market,0.61,TRUE,TRUE
2018-08-04,CA-48,model,0.6579,TRUE,TRUE
2018-08-04,CA-48,market,0.72,TRUE,TRUE
2018-08-04,CA-49,model,0.791,TRUE,TRUE
2018-08-04,CA-49,market,0.77,TRUE,TRUE
2018-08-04,CA-S1,model,1,TRUE,TRUE
2018-08-04,CA-S1,market,0.87,TRUE,TRUE
2018-08-04,CO-05,model,0.024,FALSE,TRUE
2018-08-04,CO-05,market,0.06000000000000005,FALSE,TRUE
2018-08-04,CO-06,model,0.6421,TRUE,TRUE
2018-08-04,CO-06,market,0.61,TRUE,TRUE
