date,mid,race,party,open,low,high,close,vol
2018-06-12,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-13,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-14,4015,MD-06,R,0.12,0.12,0.12,0.12,25
2018-06-15,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-16,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-17,4015,MD-06,R,0.12,0.12,0.12,0.12,3
2018-06-18,4015,MD-06,R,0.12,0.03,0.12,0.03,225
2018-06-19,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-20,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-21,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-22,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-23,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-24,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-25,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-26,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-27,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-28,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-29,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-06-30,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-01,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-02,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-03,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-04,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-05,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-06,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-07,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-08,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-09,4015,MD-06,R,0.03,0.03,0.03,0.03,0
