date,race,method,prob,pred,winner,hit,brier
2018-08-02,TX-05,model,0.001,FALSE,FALSE,TRUE,0
2018-08-02,TX-06,market,0.15,FALSE,FALSE,TRUE,0.0225
2018-08-02,TX-06,model,0.0742,FALSE,FALSE,TRUE,0.0055
2018-08-02,TX-21,market,0.14,FALSE,FALSE,TRUE,0.0196
2018-08-02,TX-21,model,0.1609,FALSE,FALSE,TRUE,0.0259
2018-08-02,TX-23,market,0.6599999999999999,TRUE,FALSE,FALSE,0.4356
2018-08-02,TX-23,model,0.7256,TRUE,FALSE,FALSE,0.5265
2018-08-02,TX-29,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-02,TX-29,model,0.9998,TRUE,TRUE,TRUE,0
2018-08-02,TX-S1,market,0.30000000000000004,FALSE,FALSE,TRUE,0.09
2018-08-02,TX-S1,model,0.2591,FALSE,FALSE,TRUE,0.0671
2018-08-02,VA-02,market,0.53,TRUE,TRUE,TRUE,0.2209
2018-08-02,VA-02,model,0.2282,FALSE,TRUE,FALSE,0.5957
2018-08-02,VA-06,market,0.1,FALSE,FALSE,TRUE,0.01
2018-08-02,VA-06,model,0.0042,FALSE,FALSE,TRUE,0
2018-08-02,VA-10,market,0.81,TRUE,TRUE,TRUE,0.0361
2018-08-02,VA-10,model,0.7517,TRUE,TRUE,TRUE,0.0617
2018-08-02,VA-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-02,VA-S1,model,0.9927,TRUE,TRUE,TRUE,1e-4
2018-08-02,VT-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-02,VT-S1,model,0.9999,TRUE,TRUE,TRUE,0
2018-08-02,WA-08,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-02,WA-08,model,0.5048,TRUE,TRUE,TRUE,0.2452
2018-08-02,WI-01,market,0.47,FALSE,FALSE,TRUE,0.2209
2018-08-02,WI-01,model,0.2672,FALSE,FALSE,TRUE,0.0714
2018-08-02,WI-S1,market,0.83,TRUE,TRUE,TRUE,0.0289
2018-08-02,WI-S1,model,0.9763,TRUE,TRUE,TRUE,6e-4
2018-08-02,WV-03,market,0.7,TRUE,FALSE,FALSE,0.49
2018-08-02,WV-03,model,0.0653,FALSE,FALSE,TRUE,0.0043
2018-08-02,WV-S1,market,0.8,TRUE,TRUE,TRUE,0.04
2018-08-02,WV-S1,model,0.8746,TRUE,TRUE,TRUE,0.0157
2018-08-03,AZ-S1,market,0.66,TRUE,TRUE,TRUE,0.1156
2018-08-03,AZ-S1,model,0.729,TRUE,TRUE,TRUE,0.0734
2018-08-03,CA-12,market,0.9,TRUE,TRUE,TRUE,0.01
2018-08-03,CA-12,model,1,TRUE,TRUE,TRUE,0
2018-08-03,CA-22,market,0.30000000000000004,FALSE,FALSE,TRUE,0.09
2018-08-03,CA-22,model,0.0476,FALSE,FALSE,TRUE,0.0023
2018-08-03,CA-25,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-03,CA-25,model,0.7408,TRUE,TRUE,TRUE,0.0672
2018-08-03,CA-39,market,0.61,TRUE,TRUE,TRUE,0.1521
2018-08-03,CA-39,model,0.3651,FALSE,TRUE,FALSE,0.4031
2018-08-03,CA-48,market,0.72,TRUE,TRUE,TRUE,0.0784
2018-08-03,CA-48,model,0.6565,TRUE,TRUE,TRUE,0.118
2018-08-03,CA-49,market,0.75,TRUE,TRUE,TRUE,0.0625
2018-08-03,CA-49,model,0.7895,TRUE,TRUE,TRUE,0.0443
2018-08-03,CA-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-03,CA-S1,model,1,TRUE,TRUE,TRUE,0
2018-08-03,CO-05,market,0.06000000000000005,FALSE,FALSE,TRUE,0.0036
2018-08-03,CO-05,model,0.0242,FALSE,FALSE,TRUE,6e-4
2018-08-03,CO-06,market,0.62,TRUE,TRUE,TRUE,0.1444
2018-08-03,CO-06,model,0.6369,TRUE,TRUE,TRUE,0.1318
2018-08-03,CT-05,market,0.9,TRUE,TRUE,TRUE,0.01
2018-08-03,CT-05,model,0.9695,TRUE,TRUE,TRUE,9e-4
2018-08-03,FL-15,market,0.23,FALSE,FALSE,TRUE,0.0529
2018-08-03,FL-15,model,0.2619,FALSE,FALSE,TRUE,0.0686
2018-08-03,FL-17,market,0.1,FALSE,FALSE,TRUE,0.01
2018-08-03,FL-17,model,0.0035,FALSE,FALSE,TRUE,0
2018-08-03,FL-26,market,0.56,TRUE,TRUE,TRUE,0.1936
2018-08-03,FL-26,model,0.3919,FALSE,TRUE,FALSE,0.3698
2018-08-03,FL-27,market,0.89,TRUE,TRUE,TRUE,0.0121
2018-08-03,FL-27,model,0.9732,TRUE,TRUE,TRUE,7e-4
2018-08-03,FL-S1,market,0.52,TRUE,FALSE,FALSE,0.2704
2018-08-03,FL-S1,model,0.6113,TRUE,FALSE,FALSE,0.3737
2018-08-03,IL-12,market,0.42,FALSE,FALSE,TRUE,0.1764
2018-08-03,IL-12,model,0.3923,FALSE,FALSE,TRUE,0.1539
2018-08-03,IN-S1,market,0.39,FALSE,FALSE,TRUE,0.1521
2018-08-03,IN-S1,model,0.7657,TRUE,FALSE,FALSE,0.5863
2018-08-03,MA-S1,market,0.96,TRUE,TRUE,TRUE,0.0016
2018-08-03,MA-S1,model,0.9986,TRUE,TRUE,TRUE,0
2018-08-03,MD-06,market,0.97,TRUE,TRUE,TRUE,9e-4
2018-08-03,MD-06,model,0.9895,TRUE,TRUE,TRUE,1e-4
2018-08-03,ME-S1,market,0.97,TRUE,TRUE,TRUE,9e-4
2018-08-03,ME-S1,model,0.9974,TRUE,TRUE,TRUE,0
2018-08-03,MI-08,market,0.44,FALSE,TRUE,FALSE,0.3136
2018-08-03,MI-08,model,0.4275,FALSE,TRUE,FALSE,0.3278
2018-08-03,MI-11,market,0.62,TRUE,TRUE,TRUE,0.1444
2018-08-03,MI-11,model,0.6705,TRUE,TRUE,TRUE,0.1086
2018-08-03,MI-S1,market,0.8,TRUE,TRUE,TRUE,0.04
2018-08-03,MI-S1,model,0.9856,TRUE,TRUE,TRUE,2e-4
2018-08-03,MN-01,market,0.5,FALSE,FALSE,TRUE,0.25
2018-08-03,MN-01,model,0.4842,FALSE,FALSE,TRUE,0.2344
2018-08-03,MN-02,market,0.85,TRUE,TRUE,TRUE,0.0225
2018-08-03,MN-02,model,0.7572,TRUE,TRUE,TRUE,0.059
2018-08-03,MN-03,market,0.54,TRUE,TRUE,TRUE,0.2116
2018-08-03,MN-03,model,0.646,TRUE,TRUE,TRUE,0.1253
2018-08-03,MN-08,market,0.53,TRUE,FALSE,FALSE,0.2809
2018-08-03,MN-08,model,0.3892,FALSE,FALSE,TRUE,0.1515
2018-08-03,MN-S1,market,0.81,TRUE,TRUE,TRUE,0.0361
2018-08-03,MN-S1,model,0.9981,TRUE,TRUE,TRUE,0
2018-08-03,MO-S1,market,0.47,FALSE,FALSE,TRUE,0.2209
2018-08-03,MO-S1,model,0.6797,TRUE,FALSE,FALSE,0.462
2018-08-03,MS-03,market,0.12,FALSE,FALSE,TRUE,0.0144
2018-08-03,MS-03,model,0.0057,FALSE,FALSE,TRUE,0
2018-08-03,MS-S1,market,0.12,FALSE,FALSE,TRUE,0.0144
2018-08-03,MS-S1,model,0.0124,FALSE,FALSE,TRUE,2e-4
