date,race,method,prob,hit,score
2018-08-04,PA-06,model,0.9809,TRUE,3.6481000000000024e-4
2018-08-04,PA-09,model,0.0087,TRUE,7.568999999999999e-5
2018-08-04,PA-15,model,0,TRUE,0
2018-08-04,PA-17,model,0.972,TRUE,7.840000000000014e-4
2018-08-04,PA-S1,model,0.9528,TRUE,0.0022278400000000018
2018-08-04,SC-04,model,3e-4,TRUE,8.999999999999999e-8
2018-08-04,TN-S1,model,0.3616,TRUE,0.13075456
2018-08-04,TX-05,model,0.0011,TRUE,1.21e-6
2018-08-04,TX-06,model,0.0709,TRUE,0.0050268100000000005
2018-08-04,TX-21,model,0.162,TRUE,0.026244
2018-08-04,TX-23,model,0.7259,FALSE,0.52693081
2018-08-04,TX-29,model,0.9999,TRUE,9.999999999997797e-9
2018-08-04,TX-S1,model,0.2599,TRUE,0.06754801
2018-08-04,VA-02,model,0.2318,FALSE,0.59013124
2018-08-04,VA-06,model,0.004,TRUE,1.6e-5
2018-08-04,VA-10,model,0.7516,TRUE,0.061702559999999976
2018-08-04,VA-S1,model,0.9934,TRUE,4.356000000000066e-5
2018-08-04,VT-S1,model,0.9999,TRUE,9.999999999997797e-9
2018-08-04,WA-08,model,0.5047,TRUE,0.24532208999999996
2018-08-04,WI-01,model,0.2635,TRUE,0.06943225
2018-08-04,WI-S1,model,0.9768,TRUE,5.382399999999999e-4
2018-08-04,WV-03,model,0.0619,TRUE,0.0038316099999999996
2018-08-04,WV-S1,model,0.8728,TRUE,0.016179839999999994
2018-08-05,AZ-S1,model,0.7293,TRUE,0.07327849000000003
2018-08-05,CA-12,model,1,TRUE,0
2018-08-05,CA-22,model,0.0482,TRUE,0.00232324
2018-08-05,CA-25,model,0.737,TRUE,0.06916900000000001
2018-08-05,CA-39,model,0.3628,FALSE,0.40602383999999997
2018-08-05,CA-48,model,0.6581,TRUE,0.11689560999999998
2018-08-05,CA-49,model,0.801,TRUE,0.03960099999999998
2018-08-05,CA-S1,model,1,TRUE,0
2018-08-05,CO-05,model,0.0234,TRUE,5.4756e-4
2018-08-05,CO-06,model,0.6367,TRUE,0.13198688999999997
2018-08-05,CT-05,model,0.9662,TRUE,0.0011424400000000035
2018-08-05,FL-15,model,0.262,TRUE,0.06864400000000001
2018-08-05,FL-17,model,0.0035,TRUE,1.2250000000000001e-5
2018-08-05,FL-26,model,0.3831,FALSE,0.38056561
2018-08-05,FL-27,model,0.9715,TRUE,8.122499999999983e-4
2018-08-05,FL-S1,model,0.6032,FALSE,0.36385023999999994
2018-08-05,IL-12,model,0.3851,TRUE,0.14830201
2018-08-05,IN-S1,model,0.7616,FALSE,0.5800345600000001
2018-08-05,MA-S1,model,0.9988,TRUE,1.4399999999999494e-6
2018-08-05,MD-06,model,0.9905,TRUE,9.02499999999991e-5
2018-08-05,ME-S1,model,0.9972,TRUE,7.840000000000138e-6
2018-08-05,MI-08,model,0.4278,FALSE,0.32741284000000004
2018-08-05,MI-11,model,0.674,TRUE,0.10627599999999997
2018-08-05,MI-S1,model,0.9861,TRUE,1.9321000000000065e-4
2018-08-05,MN-01,model,0.4815,TRUE,0.23184224999999997
2018-08-05,MN-02,model,0.7596,TRUE,0.057792159999999974
2018-08-05,MN-03,model,0.6503,TRUE,0.12229009
2018-08-05,MN-08,model,0.38,TRUE,0.1444
2018-08-05,MN-S1,model,0.998,TRUE,4.0000000000000074e-6
2018-08-05,MO-S1,model,0.6792,FALSE,0.46131264000000005
2018-08-05,MS-03,model,0.0061,TRUE,3.7210000000000005e-5
2018-08-05,MS-S1,model,0.0127,TRUE,1.6129e-4
2018-08-05,MT-S1,model,0.884,TRUE,0.013455999999999997
2018-08-05,NC-13,model,0.3887,TRUE,0.15108769
2018-08-05,ND-S1,model,0.5844,FALSE,0.34152336000000005
2018-08-05,NE-02,model,0.5779,FALSE,0.33396840999999994
2018-08-05,NE-S1,model,0.0425,TRUE,0.0018062500000000003
2018-08-05,NH-01,model,0.8014,TRUE,0.03944196
2018-08-05,NJ-02,model,0.8865,TRUE,0.01288225000000001
2018-08-05,NJ-07,model,0.6252,TRUE,0.14047504000000002
2018-08-05,NJ-11,model,0.7258,TRUE,0.07518564
2018-08-05,NJ-S1,model,0.9411,TRUE,0.0034692099999999943
2018-08-05,NM-S1,model,0.967,TRUE,0.0010890000000000019
2018-08-05,NV-03,model,0.6823,TRUE,0.10093329
2018-08-05,NV-04,model,0.8449,TRUE,0.024056010000000006
2018-08-05,NV-S1,model,0.5372,TRUE,0.21418384
2018-08-05,NY-01,model,0.1084,TRUE,0.011750559999999998
2018-08-05,NY-09,model,1,TRUE,0
2018-08-05,NY-14,model,1,TRUE,0
2018-08-05,NY-19,model,0.538,TRUE,0.21344399999999997
2018-08-05,OH-S1,model,0.9489,TRUE,0.0026112100000000036
2018-08-05,PA-06,model,0.9812,TRUE,3.5344000000000147e-4
2018-08-05,PA-09,model,0.0081,TRUE,6.560999999999999e-5
2018-08-05,PA-15,model,1e-4,TRUE,1e-8
2018-08-05,PA-17,model,0.9707,TRUE,8.584899999999996e-4
2018-08-05,PA-S1,model,0.9504,TRUE,0.0024601599999999977
2018-08-05,SC-04,model,4e-4,TRUE,1.6e-7
2018-08-05,TN-S1,model,0.3603,TRUE,0.12981609
2018-08-05,TX-05,model,7e-4,TRUE,4.9e-7
2018-08-05,TX-06,model,0.0704,TRUE,0.00495616
2018-08-05,TX-21,model,0.1615,TRUE,0.02608225
2018-08-05,TX-23,model,0.7225,FALSE,0.52200625
2018-08-05,TX-29,model,0.9999,TRUE,9.999999999997797e-9
2018-08-05,TX-S1,model,0.2554,TRUE,0.06522916000000001
2018-08-05,VA-02,model,0.2254,FALSE,0.6000051599999999
2018-08-05,VA-06,model,0.0041,TRUE,1.6810000000000003e-5
2018-08-05,VA-10,model,0.7492,TRUE,0.06290064000000001
2018-08-05,VA-S1,model,0.9921,TRUE,6.241000000000029e-5
2018-08-05,VT-S1,model,0.9999,TRUE,9.999999999997797e-9
2018-08-05,WA-08,model,0.495,FALSE,0.255025
2018-08-05,WI-01,model,0.2637,TRUE,0.06953769
2018-08-05,WI-S1,model,0.9774,TRUE,5.107599999999979e-4
2018-08-05,WV-03,model,0.0623,TRUE,0.0038812900000000003
2018-08-05,WV-S1,model,0.8713,TRUE,0.01656369000000001
2018-08-06,AZ-S1,model,0.7255,TRUE,0.07535024999999998
2018-08-06,CA-12,model,1,TRUE,0
2018-08-06,CA-22,model,0.0393,TRUE,0.0015444900000000001
2018-08-06,CA-25,model,0.7339,TRUE,0.07080921
2018-08-06,CA-39,model,0.4693,FALSE,0.28164248999999997
2018-08-06,CA-48,model,0.6608,TRUE,0.11505663999999996
2018-08-06,CA-49,model,0.8034,TRUE,0.03865156
2018-08-06,CA-S1,model,1,TRUE,0
2018-08-06,CO-05,model,0.0245,TRUE,6.002500000000001e-4
2018-08-06,CO-06,model,0.6372,TRUE,0.13162384000000002
2018-08-06,CT-05,model,0.9686,TRUE,9.85959999999999e-4
2018-08-06,FL-15,model,0.2634,TRUE,0.06937956
2018-08-06,FL-17,model,0.0031,TRUE,9.61e-6
2018-08-06,FL-26,model,0.3839,FALSE,0.37957921
2018-08-06,FL-27,model,0.973,TRUE,7.290000000000013e-4
2018-08-06,FL-S1,model,0.6087,FALSE,0.37051569
2018-08-06,IL-12,model,0.3888,TRUE,0.15116543999999998
2018-08-06,IN-S1,model,0.7664,FALSE,0.5873689599999999
2018-08-06,MA-S1,model,0.9986,TRUE,1.959999999999879e-6
2018-08-06,MD-06,model,0.9892,TRUE,1.1664000000000069e-4
2018-08-06,ME-S1,model,0.9986,TRUE,1.959999999999879e-6
2018-08-06,MI-08,model,0.4248,FALSE,0.33085503999999993
2018-08-06,MI-11,model,0.6724,TRUE,0.10732176
2018-08-06,MI-S1,model,0.9856,TRUE,2.073599999999991e-4
2018-08-06,MN-01,model,0.4817,TRUE,0.23203489000000002
2018-08-06,MN-02,model,0.7544,TRUE,0.06031936000000002
2018-08-06,MN-03,model,0.6468,TRUE,0.12475023999999997
2018-08-06,MN-08,model,0.3848,TRUE,0.14807104
2018-08-06,MN-S1,model,0.9984,TRUE,2.5600000000001466e-6
2018-08-06,MO-S1,model,0.6859,FALSE,0.47045880999999995
