member.name,last.name,chamber,state,district,party
Glenn Thompson,Thompson,house,PA,5,R
Mac Thornberry,Thornberry,house,TX,13,R
John Thune,Thune,senate,SD,00,R
Thom Tillis,Tillis,senate,NC,00,R
Scott R. Tipton,Tipton,house,CO,3,R
Dina Titus,Titus,house,NV,1,D
Paul Tonko,Tonko,house,NY,20,D
Patrick J. Toomey,Toomey,senate,PA,00,R
Norma J. Torres,Torres,house,CA,35,D
David A. Trott,Trott,house,MI,11,R
Niki Tsongas,Tsongas,house,MA,3,D
Michael R. Turner,Turner,house,OH,10,R
Tom Udall,Udall,senate,NM,00,D
Fred Upton,Upton,house,MI,6,R
David G. Valadao,Valadao,house,CA,21,R
Chris Van Hollen,Van Hollen,senate,MD,00,D
Juan Vargas,Vargas,house,CA,51,D
Marc A. Veasey,Veasey,house,TX,33,D
Filemon Vela,Vela,house,TX,34,D
Nydia M. Velázquez,Velázquez,house,NY,7,D
Peter J. Visclosky,Visclosky,house,IN,1,D
Ann Wagner,Wagner,house,MO,2,R
Tim Walberg,Walberg,house,MI,7,R
Greg Walden,Walden,house,OR,2,R
Mark Walker,Walker,house,NC,6,R
Jackie Walorski,Walorski,house,IN,2,R
Mimi Walters,Walters,house,CA,45,R
Timothy J. Walz,Walz,house,MN,1,D
Mark R. Warner,Warner,senate,VA,00,D
Elizabeth Warren,Warren,senate,MA,00,D
Debbie Wasserman Schultz,Wasserman Schultz,house,FL,23,D
Maxine Waters,Waters,house,CA,43,D
Bonnie Watson Coleman,Watson Coleman,house,NJ,12,D
"Randy K. Weber, Sr.",Weber,house,TX,14,R
Daniel Webster,Webster,house,FL,11,R
Peter Welch,Welch,house,VT,0,D
Brad R. Wenstrup,Wenstrup,house,OH,2,R
Bruce Westerman,Westerman,house,AR,4,R
Sheldon Whitehouse,Whitehouse,senate,RI,00,D
Roger F. Wicker,Wicker,senate,MS,00,R
Roger Williams,Williams,house,TX,25,R
Joe Wilson,Wilson,house,SC,2,R
Frederica S. Wilson,Wilson,house,FL,24,D
Robert J. Wittman,Wittman,house,VA,1,R
Steve Womack,Womack,house,AR,3,R
Rob Woodall,Woodall,house,GA,7,R
Ron Wyden,Wyden,senate,OR,00,D
John A. Yarmuth,Yarmuth,house,KY,3,D
Kevin Yoder,Yoder,house,KS,3,R
Ted S. Yoho,Yoho,house,FL,3,R
Don Young,Young,house,AK,0,R
Todd Young,Young,senate,IN,00,R
David Young,Young,house,IA,3,R
Lee M. Zeldin,Zeldin,house,NY,1,R
